Date,Rainfall,Tmax,Tmin
01-06-2024,5.023329796,2.129110998,1.492533013
02-06-2024,1.047918332,2.838173032,1.426097685
03-06-2024,3.463175958,2.842068479,1.692213174
04-06-2024,8.085019592,2.420469974,1.654932237
05-06-2024,1.162891889,2.300941947,1.531771161
06-06-2024,7.599863456,2.468662647,1.70008114
07-06-2024,8.878292589,2.968305766,1.540049791
08-06-2024,10.73777638,2.96945198,1.857601932
09-06-2024,7.566577717,2.746863375,1.466495461
10-06-2024,4.703008092,2.799901666,1.770607073
11-06-2024,14.6613706,3.325861464,1.736995147
12-06-2024,11.86394475,3.27092206,1.772011425
13-06-2024,16.52117375,3.195041342,1.611221683
14-06-2024,13.0815696,3.570620929,1.854173818
15-06-2024,9.47378548,3.41205471,1.714805222
16-06-2024,15.83390959,3.21884212,1.87839809
17-06-2024,14.16918357,2.925560761,1.762388934
18-06-2024,5.60216465,3.02950635,1.641422145
19-06-2024,20.944918,2.914726753,1.823498633
20-06-2024,10.11717266,2.954863544,1.587270643
21-06-2024,34.3248163,2.872364213,1.300222546
22-06-20224,12.07104279,2.229720838,1.080395874
23-06-2024,13.48835937,2.439705813,1.017838738
24-06-2024,7.460495891,2.725467409,0.982398278
25-06-2024,5.785088904,2.711418628,1.131615869
26-06-2024,18.01992224,2.415792953,0.83153373
27-06-2024,7.903071884,2.254350112,0.803162907
28-06-2024,15.17827399,2.278558864,0.951427637
29-06-2024,8.642382554,1.96807869,0.505503453
30-06-2024,25.48099267,2.189605053,0.805376807
