Date,Rainfall,Tmax,Tmin
01-06-2024,2.758224254,2.129110998,1.492533013
02-06-2024,2.152011714,2.838173032,1.426097685
03-06-2024,8.1264222,2.842068479,1.692213174
04-06-2024,5.132521951,2.420469974,1.654932237
05-06-2024,1.359804743,2.300941947,1.531771161
06-06-2024,10.40797377,2.468662647,1.70008114
07-06-2024,6.551085488,2.968305766,1.540049791
08-06-2024,5.909606592,2.96945198,1.857601932
09-06-2024,6.669221825,2.746863375,1.466495461
10-06-2024,8.894914989,2.799901666,1.770607073
11-06-2024,19.75703192,3.325861464,1.736995147
12-06-2024,12.00080211,3.27092206,1.772011425
13-06-2024,5.765444838,3.195041342,1.611221683
14-06-2024,17.30519743,3.570620929,1.854173818
15-06-2024,6.088309059,3.41205471,1.714805222
16-06-2024,9.606916871,3.21884212,1.87839809
17-06-2024,8.765929185,2.925560761,1.762388934
18-06-2024,5.161227569,3.02950635,1.641422145
19-06-2024,7.851967064,2.914726753,1.823498633
20-06-2024,7.039082597,2.954863544,1.587270643
21-06-2024,21.38948775,2.872364213,1.300222546
22-06-2024,10.33977157,2.229720838,1.080395874
23-06-2024,6.262830599,2.439705813,1.017838738
24-06-2024,4.01501102,2.725467409,0.982398278
25-06-2024,5.144009835,2.711418628,1.131615869
26-06-2024,10.89920002,2.415792953,0.83153373
27-06-2024,14.5618384,2.254350112,0.803162907
28-06-2024,8.786251094,2.278558864,0.951427637
29-06-2024,3.876896795,1.96807869,0.505503453
30-06-2024,5.637602505,2.189605053,0.805376807
